,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,average
123,V159,101,101,105,107,74,114,100.33333333333333
124,V160,198,210,191,168,117,222,184.33333333333334
125,V161,33,67,51,64,52,80,57.833333333333336
126,V162,55,44,58,86,51,53,57.833333333333336
127,V163,25,35,35,49,39,58,40.166666666666664
128,V164,81,119,143,90,120,171,120.66666666666667
129,V165,320,355,374,352,264,413,346.3333333333333
130,V166,89,143,158,93,91,133,117.83333333333333
131,V167,41,33,38,26,16,44,33.0
132,V169,171,112,139,158,129,160,144.83333333333334
133,V170,132,132,143,104,120,125,126.0
134,V171,122,103,137,87,98,96,107.16666666666667
135,V172,23,38,44,46,33,41,37.5
136,V173,13,23,20,23,17,25,20.166666666666668
137,V175,34,34,56,30,25,30,34.833333333333336
138,V176,70,53,92,60,51,71,66.16666666666667
139,V177,29,33,39,36,14,38,31.5
140,V178,99,83,80,78,72,79,81.83333333333333
141,V180,57,55,65,66,65,74,63.666666666666664
142,V182,63,74,64,65,49,76,65.16666666666667
143,V184,62,61,58,44,67,71,60.5
144,V187,269,218,282,222,192,276,243.16666666666666
145,V188,90,116,105,70,73,76,88.33333333333333
146,V189,86,117,110,158,117,161,124.83333333333333
147,V195,29,14,41,20,19,23,24.333333333333332
148,V197,32,80,101,44,57,52,61.0
149,V200,69,88,115,111,64,122,94.83333333333333
150,V201,106,94,112,81,79,115,97.83333333333333
151,V202,143,104,172,97,102,187,134.16666666666666
152,V203,316,250,402,250,200,366,297.3333333333333
153,V204,183,135,240,139,143,167,167.83333333333334
154,V205,124,106,134,121,93,160,123.0
155,V206,107,130,117,99,112,123,114.66666666666667
156,V207,242,200,297,148,197,242,221.0
157,V208,259,203,314,208,274,275,255.5
158,V209,243,189,234,180,196,273,219.16666666666666
159,V210,195,181,231,149,144,194,182.33333333333334
160,V212,181,145,172,142,140,214,165.66666666666666
161,V213,122,87,127,94,81,113,104.0
162,V214,113,140,169,88,97,119,121.0
163,V215,233,233,337,167,200,260,238.33333333333334
